,characterID,character_name,movieID,movie_title,gender,position_in_credits
50,u74,LISA,m4,48 hrs.,?,?
51,u75,LUTHER,m4,48 hrs.,?,?
52,u76,SOSNA,m4,48 hrs.,?,?
53,u77,YOUNG COP,m4,48 hrs.,?,?
55,u80,DIVA,m5,the fifth element,?,?
56,u81,FINGER,m5,the fifth element,?,?
57,u82,GIRL,m5,the fifth element,?,?
58,u83,KOMMANDER,m5,the fifth element,?,?
59,u86,LOC RHOD,m5,the fifth element,?,?
61,u88,MOTHER,m5,the fifth element,?,?
63,u90,MUNRO,m5,the fifth element,?,?
64,u91,PRESIDENT,m5,the fifth element,?,?
66,u93,PROFESSOR,m5,the fifth element,?,?
67,u94,SECRETARY,m5,the fifth element,?,?
68,u95,SHADOW,m5,the fifth element,?,?
69,u96,STAEDERT,m5,the fifth element,?,?
70,u97,THAI,m5,the fifth element,?,?
71,u98,VOICE,m5,the fifth element,?,?
72,u99,ZORG,m5,the fifth element,?,?
73,u101,ANGRY DEALER,m6,8mm,?,?
74,u102,DINO,m6,8mm,?,?
75,u104,DIRECTOR,m6,8mm,?,?
76,u107,MALE VOICE,m6,8mm,?,?
77,u111,NUN,m6,8mm,?,?
78,u112,POLITICIAN,m6,8mm,?,?
79,u113,SALESPERSON,m6,8mm,?,?
80,u117,DEBBIE,m7,a nightmare on elm street 4: the dream master,?,?
81,u118,ELAINE,m7,a nightmare on elm street 4: the dream master,?,?
82,u119,KRISTEN,m7,a nightmare on elm street 4: the dream master,?,?
84,u121,RICK,m7,a nightmare on elm street 4: the dream master,?,?
85,u122,SHEILA,m7,a nightmare on elm street 4: the dream master,?,?
86,u124,ALICE'S DAD,m8,a nightmare on elm street: the dream child,?,?
87,u125,DAN,m8,a nightmare on elm street: the dream child,?,?
88,u126,GRETA,m8,a nightmare on elm street: the dream child,?,?
89,u127,JACOB,m8,a nightmare on elm street: the dream child,?,?
90,u129,MRS. JORDAN,m8,a nightmare on elm street: the dream child,?,?
91,u133,GRIFF,m9,the atomic submarine,?,?
92,u134,KENT,m9,the atomic submarine,?,?
93,u136,SAUCER VOICE,m9,the atomic submarine,?,?
94,u137,SIR IAN,m9,the atomic submarine,?,?
95,u138,WENDOVER,m9,the atomic submarine,?,?
96,u140,CHICK,m10,affliction,?,?
97,u141,HAND,m10,affliction,?,?
98,u145,LILLIAN,m10,affliction,?,?
99,u146,LUGENE,m10,affliction,?,?
100,u148,MEL GORDON,m10,affliction,?,?
101,u149,MRS. GORDON,m10,affliction,?,?
102,u150,NICK,m10,affliction,?,?
103,u151,POP,m10,affliction,?,?
104,u155,ALICE,m11,air force one,?,?
105,u156,CERALLOS,m11,air force one,?,?
106,u157,CHIEF MECHANIC,m11,air force one,?,?
107,u158,COL. CARLTON,m11,air force one,?,?
108,u159,DEAN,m11,air force one,?,?
109,u160,DOHERTY,m11,air force one,?,?
111,u162,GIBBS,m11,air force one,?,?
112,u163,IRAQI SOLDIER,m11,air force one,?,?
113,u164,KC-135 PILOT,m11,air force one,?,?
114,u165,KC-LO PILOT,m11,air force one,?,?
115,u166,KORSHUNOV,m11,air force one,?,?
116,u167,LEE,m11,air force one,?,?
118,u170,MITCHELL,m11,air force one,?,?
119,u171,ROSE,m11,air force one,?,?
120,u172,SECRET SERVICE AGENT,m11,air force one,?,?
121,u173,SECRETARY,m11,air force one,?,?
122,u175,SWITCHBOARD,m11,air force one,?,?
123,u176,TOWER,m11,air force one,?,?
124,u177,V.P. CHANDLER,m11,air force one,?,?
125,u178,COMMISSIONER,m12,airplane ii: the sequel,?,?
126,u179,DUNN,m12,airplane ii: the sequel,?,?
127,u181,JIMMY,m12,airplane ii: the sequel,?,?
128,u182,JOE,m12,airplane ii: the sequel,?,?
129,u183,JOHN,m12,airplane ii: the sequel,?,?
130,u184,KRUGER,m12,airplane ii: the sequel,?,?
131,u185,MARY,m12,airplane ii: the sequel,?,?
132,u186,OVEUR,m12,airplane ii: the sequel,?,?
133,u187,PORTER,m12,airplane ii: the sequel,?,?
134,u188,RECEPTIONIST,m12,airplane ii: the sequel,?,?
135,u189,ROK,m12,airplane ii: the sequel,?,?
136,u190,RUMACK,m12,airplane ii: the sequel,?,?
137,u192,STELLA,m12,airplane ii: the sequel,?,?
138,u194,WIFE,m12,airplane ii: the sequel,?,?
139,u195,BERNICE,m13,airplane!,?,?
140,u196,CAREY,m13,airplane!,?,?
142,u199,GIRL,m13,airplane!,?,?
144,u201,JACK,m13,airplane!,?,?
145,u202,JOEY,m13,airplane!,?,?
146,u203,KRAMER,m13,airplane!,?,?
147,u204,LISA,m13,airplane!,?,?
148,u205,MILTON,m13,airplane!,?,?
150,u207,MRS. KRAMER,m13,airplane!,?,?
152,u209,OVEUR,m13,airplane!,?,?
154,u211,SHIRLEY,m13,airplane!,?,?
155,u212,SISTER ANGELINA,m13,airplane!,?,?
156,u213,SOLDIER,m13,airplane!,?,?
157,u215,CASSANDRA,m14,alien nation,?,?
158,u216,FEDORCHUK,m14,alien nation,?,?
159,u217,HARCOURT,m14,alien nation,?,?
160,u219,KIPLING,m14,alien nation,?,?
161,u220,MAFFET,m14,alien nation,?,?
162,u221,O'NEAL,m14,alien nation,?,?
163,u222,OPERATOR,m14,alien nation,?,?
164,u223,PORTER,m14,alien nation,?,?
165,u225,TUGGLE,m14,alien nation,?,?
166,u226,WARNER,m14,alien nation,?,?
167,u227,WINTER,m14,alien nation,?,?
168,u228,APONE,m15,aliens,?,?
169,u231,GORMAN,m15,aliens,?,?
170,u233,HUDSON,m15,aliens,?,?
171,u234,LYDECKER,m15,aliens,?,?
172,u235,MED-TECH,m15,aliens,?,?
173,u238,SIMPSON,m15,aliens,?,?
175,u240,VASQUEZ,m15,aliens,?,?
176,u241,ALLEGRO,m16,amadeus,?,?
177,u242,ANDANTE,m16,amadeus,?,?
178,u243,ARCO,m16,amadeus,?,?
179,u245,COLLOREDO,m16,amadeus,?,?
180,u246,COMMENDATORE,m16,amadeus,?,?
181,u248,FIRST LADY,m16,amadeus,?,?
182,u249,FLUNKY,m16,amadeus,?,?
183,u250,FRAU SCHLUMBERG,m16,amadeus,?,?
184,u254,MADAME WEBER,m16,amadeus,?,?
185,u256,OFFICER,m16,amadeus,?,?
186,u258,ORSINI-ROSENBERG,m16,amadeus,?,?
187,u259,PAPAGENO,m16,amadeus,?,?
188,u262,SCHLUMBERG,m16,amadeus,?,?
189,u263,SECOND LADY,m16,amadeus,?,?
190,u264,SERVANT,m16,amadeus,?,?
191,u265,UGLY OLD WOMAN,m16,amadeus,?,?
192,u267,VON STRACK,m16,amadeus,?,?
193,u268,VON SWIETEN,m16,amadeus,?,?
194,u270,BENJAMIN,m17,an american werewolf in london,?,?
195,u271,BOBBIE,m17,an american werewolf in london,?,?
196,u272,BRINGSLY,m17,an american werewolf in london,?,?
197,u273,CHESS PLAYER,m17,an american werewolf in london,?,?
198,u277,LT. VILLIERS,m17,an american werewolf in london,?,?
199,u278,MISS GALLAGHER,m17,an american werewolf in london,?,?
200,u279,MRS. HOBBS,m17,an american werewolf in london,?,?
201,u280,ORDERLY,m17,an american werewolf in london,?,?
202,u281,SECRETARY,m17,an american werewolf in london,?,?
203,u282,SGT. MCMANUS,m17,an american werewolf in london,?,?
204,u283,WOMAN,m17,an american werewolf in london,?,?
205,u284,BILL,m18,american madness,?,?
206,u285,CHARLIE,m18,american madness,?,?
207,u289,DUDE,m18,american madness,?,?
208,u290,GARDINER,m18,american madness,?,?
209,u291,GUARD,m18,american madness,?,?
210,u293,HELEN'S VOICE,m18,american madness,?,?
211,u294,INSPECTOR,m18,american madness,?,?
212,u295,JANITOR,m18,american madness,?,?
213,u296,LADY,m18,american madness,?,?
214,u298,MIKE,m18,american madness,?,?
215,u300,MRS. HALLIGAN,m18,american madness,?,?
216,u301,MRS. PEMBROKE,m18,american madness,?,?
217,u302,O'BRIEN,m18,american madness,?,?
218,u303,OSCAR,m18,american madness,?,?
219,u304,SAMPSON,m18,american madness,?,?
220,u305,TELLER,m18,american madness,?,?
221,u307,BURLY DETECTIVE,m19,american outlaws,?,?
223,u310,DEPUTY,m19,american outlaws,?,?
224,u311,DOC MIMMS,m19,american outlaws,?,?
225,u314,JIM,m19,american outlaws,?,?
226,u315,JIMMY,m19,american outlaws,?,?
227,u316,LYLA,m19,american outlaws,?,?
228,u317,MA,m19,american outlaws,?,?
229,u318,MARSHALL,m19,american outlaws,?,?
230,u319,OLD MAN,m19,american outlaws,?,?
231,u321,PASTOR,m19,american outlaws,?,?
232,u324,SHERRIFF,m19,american outlaws,?,?
233,u325,TELLER,m19,american outlaws,?,?
234,u328,CARNES,m20,american psycho,?,?
235,u329,CARRUTHERS,m20,american psycho,?,?
237,u332,DAISY,m20,american psycho,?,?
238,u338,MAITRE D',m20,american psycho,?,?
240,u340,OWEN,m20,american psycho,?,?
241,u341,PRICE,m20,american psycho,?,?
242,u342,VAN PATTEN,m20,american psycho,?,?
243,u343,VICTORIA,m20,american psycho,?,?
244,u345,BARTON,m21,antitrust,?,?
245,u346,BRIAN,m21,antitrust,?,?
246,u347,CYBER PUNDIT,m21,antitrust,?,?
247,u348,DANNY,m21,antitrust,?,?
248,u350,LARRY,m21,antitrust,?,?
249,u351,LARRY KING,m21,antitrust,?,?
250,u352,LEN,m21,antitrust,?,?
251,u355,PHIL,m21,antitrust,?,?
252,u356,RANDY,m21,antitrust,?,?
253,u357,REDMOND,m21,antitrust,?,?
254,u358,SHROT,m21,antitrust,?,?
255,u359,TEDDY,m21,antitrust,?,?
256,u361,ANDY WARHOL,m22,austin powers: international man of mystery,?,?
257,u364,CLERK,m22,austin powers: international man of mystery,?,?
258,u365,COMMANDER GILMOUR,m22,austin powers: international man of mystery,?,?
259,u366,DESTRUCTACON,m22,austin powers: international man of mystery,?,?
261,u369,GUARD,m22,austin powers: international man of mystery,?,?
262,u370,MICK JAGGER,m22,austin powers: international man of mystery,?,?
266,u374,RADAR OPERATOR,m22,austin powers: international man of mystery,?,?
268,u378,BAILEY,m23,the avengers,?,?
269,u379,DR. DARLING,m23,the avengers,?,?
270,u381,FATHER,m23,the avengers,?,?
271,u384,OLD LADY,m23,the avengers,?,?
272,u385,PORTER,m23,the avengers,?,?
273,u386,SIR AUGUST,m23,the avengers,?,?
274,u389,VOICE,m23,the avengers,?,?
275,u390,BOBBIE,m24,bachelor party,?,?
276,u391,CHULO,m24,bachelor party,?,?
277,u394,EXECUTIVE,m24,bachelor party,?,?
278,u395,GARY,m24,bachelor party,?,?
279,u396,ILENE,m24,bachelor party,?,?
280,u397,JUMBO,m24,bachelor party,?,?
281,u398,LARRY,m24,bachelor party,?,?
282,u399,MANAGER,m24,bachelor party,?,?
283,u400,MR. T,m24,bachelor party,?,?
284,u401,MR. THOMERSON,m24,bachelor party,?,?
285,u402,MRS. THOMERSON,m24,bachelor party,?,?
286,u404,PHOEBE,m24,bachelor party,?,?
287,u405,RAJAH,m24,bachelor party,?,?
288,u407,RYKO,m24,bachelor party,?,?
289,u408,SISTER MARY FRANCIS,m24,bachelor party,?,?
290,u409,STAN,m24,bachelor party,?,?
291,u410,WOMAN,m24,bachelor party,?,?
292,u411,AXE,m25,backdraft,?,?
293,u413,CHIEF FITZGERALD,m25,backdraft,?,?
294,u414,DENNIS,m25,backdraft,?,?
295,u415,GRINDLE,m25,backdraft,?,?
296,u418,RICCO,m25,backdraft,?,?
297,u419,RONALD,m25,backdraft,?,?
298,u422,SWAYZAK,m25,backdraft,?,?
299,u423,TIM,m25,backdraft,?,?
300,u424,WILLY,m25,backdraft,?,?
301,u426,ELDERLY BLACK WOMAN,m26,bad lieutenant,?,?
302,u427,FENCE,m26,bad lieutenant,?,?
303,u428,JC,m26,bad lieutenant,?,?
304,u429,JESUS,m26,bad lieutenant,?,?
305,u430,LARGE,m26,bad lieutenant,?,?
306,u433,NUN,m26,bad lieutenant,?,?
307,u434,PRIEST,m26,bad lieutenant,?,?
308,u435,1/16TH BLACK,m27,bamboozled,?,?
309,u436,AUDIENCE,m27,bamboozled,?,?
310,u437,BIG BLACK,m27,bamboozled,?,?
311,u438,CHEEBA,m27,bamboozled,?,?
312,u440,DOT,m27,bamboozled,?,?
313,u442,GARY BYRD,m27,bamboozled,?,?
314,u443,HONEYCUTT,m27,bamboozled,?,?
315,u444,JUKKA,m27,bamboozled,?,?
316,u446,MANRAY,m27,bamboozled,?,?
317,u448,MONA,m27,bamboozled,?,?
318,u449,MYRNA,m27,bamboozled,?,?
319,u453,TAVIS SMILEY,m27,bamboozled,?,?
320,u454,ARMED GENTLEMAN,m28,barry lyndon,?,?
321,u455,CAPTAIN BEST,m28,barry lyndon,?,?
322,u458,CAPTAIN O'REILLY,m28,barry lyndon,?,?
323,u460,COUNT,m28,barry lyndon,?,?
324,u462,DOROTHY,m28,barry lyndon,?,?
325,u463,HARRY,m28,barry lyndon,?,?
326,u464,HENRI,m28,barry lyndon,?,?
327,u465,LORD WEST,m28,barry lyndon,?,?
328,u466,MICHAEL,m28,barry lyndon,?,?
329,u467,MINISTER GALGENSTEIN,m28,barry lyndon,?,?
330,u468,MRS. O'REILLY,m28,barry lyndon,?,?
331,u469,NEWCOMBE,m28,barry lyndon,?,?
332,u470,PATRICK,m28,barry lyndon,?,?
333,u471,PRINCE,m28,barry lyndon,?,?
334,u472,PRUSSIAN OFFICER,m28,barry lyndon,?,?
335,u474,SIR WILLIAM,m28,barry lyndon,?,?
336,u475,VALDEZ,m28,barry lyndon,?,?
337,u476,BARTENDER,m29,basic,?,?
338,u477,CHILDS,m29,basic,?,?
340,u484,SERGEANT,m29,basic,?,?
341,u486,THE CADETS,m29,basic,?,?
343,u489,BEAMEN,m30,big fish,?,?
344,u490,DON PRICE,m30,big fish,?,?
345,u491,DR. BENNETT,m30,big fish,?,?
346,u495,KARL,m30,big fish,?,?
349,u500,BRANCH MANAGER,m31,birthday girl,?,?
350,u503,OFFICIAL,m31,birthday girl,?,?
351,u506,BOJO,m32,black snake moan,?,?
352,u507,BRYAN,m32,black snake moan,?,?
353,u508,ELLA MAE,m32,black snake moan,?,?
354,u510,JESSE,m32,black snake moan,?,?
355,u512,LINCOLN,m32,black snake moan,?,?
358,u521,CONNIE,m33,black rain,?,?
359,u522,ICH,m33,black rain,?,?
360,u524,KOBO,m33,black rain,?,?
364,u531,CHEW,m34,blade runner,?,?
365,u533,DECKARD'S VOICE,m34,blade runner,?,?
366,u534,ESPER,m34,blade runner,?,?
369,u537,LEON,m34,blade runner,?,?
370,u538,MARY,m34,blade runner,?,?
371,u541,SALOME,m34,blade runner,?,?
372,u543,TAFFEY,m34,blade runner,?,?
373,u544,TYRELL,m34,blade runner,?,?
374,u545,VOICE,m34,blade runner,?,?
375,u546,WHEELER,m34,blade runner,?,?
376,u548,ARON,m35,blast from the past,?,?
377,u549,ATKINSON,m35,blast from the past,?,?
378,u550,BELLBOY,m35,blast from the past,?,?
379,u551,BUTCHER,m35,blast from the past,?,?
380,u552,BYSTANDER #1,m35,blast from the past,?,?
381,u554,CLERK,m35,blast from the past,?,?
384,u559,LEVY,m35,blast from the past,?,?
385,u560,MISS SWEET,m35,blast from the past,?,?
386,u561,MOM,m35,blast from the past,?,?
387,u562,PILOT,m35,blast from the past,?,?
388,u563,POSTAL WORKER,m35,blast from the past,?,?
390,u565,STREET WALKER,m35,blast from the past,?,?
391,u566,TOWER,m35,blast from the past,?,?
392,u568,AUNT BARBARA,m36,blue velvet,?,?
393,u569,BEN,m36,blue velvet,?,?
394,u572,F.B.I. MAN,m36,blue velvet,?,?
395,u573,FRANK,m36,blue velvet,?,?
396,u575,MIKE,m36,blue velvet,?,?
397,u576,MR. BEAUMONT,m36,blue velvet,?,?
398,u577,MRS. BEAUMONT,m36,blue velvet,?,?
399,u578,MRS. WILLIAMS,m36,blue velvet,?,?
400,u579,RAYMOND,m36,blue velvet,?,?
401,u581,YELLOW MAN,m36,blue velvet,?,?
402,u582,AUGUSTUS,m37,the boondock saints,?,?
403,u583,BOTH,m37,the boondock saints,?,?
404,u584,CHAFFEY,m37,the boondock saints,?,?
405,u586,DOC,m37,the boondock saints,?,?
406,u587,DOLLY,m37,the boondock saints,?,?
407,u588,DONNA,m37,the boondock saints,?,?
408,u590,GREENLY,m37,the boondock saints,?,?
409,u591,MOM,m37,the boondock saints,?,?
410,u595,ROZ,m37,the boondock saints,?,?
411,u597,VINCENZO,m37,the boondock saints,?,?
413,u600,APPLEJACK,m38,bottle rocket,?,?
414,u602,COP,m38,bottle rocket,?,?
415,u604,EMPLOYEE,m38,bottle rocket,?,?
418,u607,JACKSON,m38,bottle rocket,?,?
419,u608,KUMAR,m38,bottle rocket,?,?
420,u609,LITTLE RICHARD,m38,bottle rocket,?,?
421,u610,MAN,m38,bottle rocket,?,?
422,u614,CRONIN,m39,the bourne supremacy,?,?
423,u615,GRETKOV,m39,the bourne supremacy,?,?
426,u620,MARSHALL,m39,the bourne supremacy,?,?
427,u621,NEVINS/PHONE,m39,the bourne supremacy,?,?
428,u624,PAMELA/PHONE,m39,the bourne supremacy,?,?
431,u627,ZORN,m39,the bourne supremacy,?,?
432,u628,ARGYLE,m40,braveheart,?,?
434,u630,EDWARD,m40,braveheart,?,?
435,u631,HAMISH,m40,braveheart,?,?
436,u632,LEADER,m40,braveheart,?,?
437,u633,LEPER,m40,braveheart,?,?
438,u634,LONGSHANKS,m40,braveheart,?,?
440,u637,NICOLETTE,m40,braveheart,?,?
441,u639,ROBERT,m40,braveheart,?,?
442,u640,STEPHEN,m40,braveheart,?,?
443,u644,CARLOS,m41,the butterfly effect,?,?
446,u649,JASON,m41,the butterfly effect,?,?
447,u651,LENNY,m41,the butterfly effect,?,?
448,u652,MR. MILLER,m41,the butterfly effect,?,?
452,u656,TOMMY,m41,the butterfly effect,?,?
453,u657,WAITRESS,m41,the butterfly effect,?,?
455,u660,CARL,m42,casablanca,?,?
456,u661,EMIL,m42,casablanca,?,?
457,u662,EUROPEAN,m42,casablanca,?,?
458,u670,TOURIST,m42,casablanca,?,?
459,u672,YVONNE,m42,casablanca,?,?
460,u673,ALEKSEI,m43,cast away,?,?
461,u675,BETTINA,m43,cast away,?,?
462,u677,CHUCK/CAPTAIN,m43,cast away,?,?
463,u678,DOCTOR,m43,cast away,?,?
464,u679,DRIVER,m43,cast away,?,?
465,u680,ERICA,m43,cast away,?,?
466,u683,LESLIE,m43,cast away,?,?
467,u684,MOM,m43,cast away,?,?
468,u685,ROGER,m43,cast away,?,?
469,u687,TECHNICIAN,m43,cast away,?,?
470,u688,VOICE,m43,cast away,?,?
471,u692,CURLY,m44,the cider house rules,?,?
472,u693,EDNA,m44,the cider house rules,?,?
473,u694,FUZZY,m44,the cider house rules,?,?
474,u696,JACK,m44,the cider house rules,?,?
475,u698,MAJOR WINSLOW,m44,the cider house rules,?,?
476,u699,MARY AGNES,m44,the cider house rules,?,?
477,u701,MRS. GOODHALL,m44,the cider house rules,?,?
478,u702,MUDDY,m44,the cider house rules,?,?
479,u703,OLIVE,m44,the cider house rules,?,?
480,u704,PEACHES,m44,the cider house rules,?,?
481,u705,RAY,m44,the cider house rules,?,?
483,u711,GILLETTE,m45,confidence,?,?
484,u716,LIONEL,m45,confidence,?,?
485,u719,MOONAN,m45,confidence,?,?
486,u720,MR. LEWIS,m45,confidence,?,?
487,u721,ROTTOVICH,m45,confidence,?,?
488,u722,SALESGIRL,m45,confidence,?,?
489,u723,SOBOZINSKI,m45,confidence,?,?
490,u724,SUITS,m45,confidence,?,?
491,u726,DEALER,m46,croupier,?,?
492,u729,JACK SR.,m46,croupier,?,?
493,u731,LUCY,m46,croupier,?,?
494,u732,MAN,m46,croupier,?,?
495,u736,ROSS,m46,croupier,?,?
496,u738,BOMB #19,m47,dark star,?,?
497,u744,BLONDE,m48,dark angel,?,?
498,u746,DARREN,m48,dark angel,?,?
499,u747,HERBAL,m48,dark angel,?,?
500,u748,INGA,m48,dark angel,?,?
501,u749,KENDRA,m48,dark angel,?,?
502,u750,LAUREN,m48,dark angel,?,?
503,u754,NORMAL,m48,dark angel,?,?
504,u757,SONRISA,m48,dark angel,?,?
505,u758,SOPHY,m48,dark angel,?,?
506,u759,THEO,m48,dark angel,?,?
507,u760,VOGELSANG,m48,dark angel,?,?
508,u761,AMANDA,m49,detroit rock city,?,?
509,u762,BARTENDER,m49,detroit rock city,?,?
510,u763,BETH,m49,detroit rock city,?,?
512,u767,KENNY,m49,detroit rock city,?,?
514,u770,MAN WITH COAT,m49,detroit rock city,?,?
516,u772,PRIEST,m49,detroit rock city,?,?
517,u773,SCALPER,m49,detroit rock city,?,?
518,u774,SIMPLE SIMON'S VOICE,m49,detroit rock city,?,?
519,u776,TRIP'S VOICE,m49,detroit rock city,?,?
520,u777,AUDIENCE,m50,donnie darko,?,?
522,u780,DR. MONNITOFF,m50,donnie darko,?,?
523,u782,EDDIE,m50,donnie darko,?,?
524,u783,ELIZABETH,m50,donnie darko,?,?
527,u787,LEROY,m50,donnie darko,?,?
528,u788,MS. FARMER,m50,donnie darko,?,?
529,u789,MS. POMEROY,m50,donnie darko,?,?
531,u791,RONALD,m50,donnie darko,?,?
532,u792,ROSE,m50,donnie darko,?,?
533,u793,SAMANTHA,m50,donnie darko,?,?
534,u794,SEAN,m50,donnie darko,?,?
535,u795,SETH,m50,donnie darko,?,?
536,u798,BECKY,m51,drop dead gorgeous,?,?
537,u799,BRETT,m51,drop dead gorgeous,?,?
538,u800,COLLEEN,m51,drop dead gorgeous,?,?
539,u801,DOCUMENTARIAN,m51,drop dead gorgeous,?,?
540,u802,FRY GIRL #1,m51,drop dead gorgeous,?,?
541,u803,GLADYS,m51,drop dead gorgeous,?,?
542,u804,HANK,m51,drop dead gorgeous,?,?
543,u805,HAROLD,m51,drop dead gorgeous,?,?
544,u806,IRIS,m51,drop dead gorgeous,?,?
545,u807,LESLIE,m51,drop dead gorgeous,?,?
546,u808,LESTER,m51,drop dead gorgeous,?,?
547,u809,LISA,m51,drop dead gorgeous,?,?
549,u812,MR. LARSON,m51,drop dead gorgeous,?,?
550,u813,PREGNANT FRY GIRL,m51,drop dead gorgeous,?,?
551,u814,TERRY,m51,drop dead gorgeous,?,?
552,u815,TINA,m51,drop dead gorgeous,?,?
553,u816,ALL,m52,duck soup,?,?
554,u819,ENSEMBLE,m52,duck soup,?,?
555,u823,VERA,m52,duck soup,?,?
556,u825,BOY,m53,the elephant man,?,?
558,u829,K. HEN,m53,the elephant man,?,?
559,u830,KATH,m53,the elephant man,?,?
560,u831,KENDAL,m53,the elephant man,?,?
563,u836,OWNER,m53,the elephant man,?,?
565,u841,FREYA,m54,erik the viking,?,?
566,u842,GIRL,m54,erik the viking,?,?
567,u843,GRANDAD,m54,erik the viking,?,?
568,u844,GRANDFATHER,m54,erik the viking,?,?
569,u845,HARALD,m54,erik the viking,?,?
570,u847,IVAR,m54,erik the viking,?,?
571,u850,LEIF,m54,erik the viking,?,?
572,u852,ODIN,m54,erik the viking,?,?
573,u853,SNORRI,m54,erik the viking,?,?
574,u856,THORFINN,m54,erik the viking,?,?
575,u857,THORFINN'S MUM,m54,erik the viking,?,?
576,u858,CARRIE,m55,eternal sunshine of the spotless mind,?,?
577,u860,CLEMENTINE'S VOICE,m55,eternal sunshine of the spotless mind,?,?
578,u865,NAOMI'S VOICE,m55,eternal sunshine of the spotless mind,?,?
579,u866,OLD WOMAN,m55,eternal sunshine of the spotless mind,?,?
580,u868,RECEPTIONIST,m55,eternal sunshine of the spotless mind,?,?
581,u870,STAN'S VOICE,m55,eternal sunshine of the spotless mind,?,?
582,u871,VOICE-OVER,m55,eternal sunshine of the spotless mind,?,?
583,u873,HOWARD,m56,even cowgirls get the blues,?,?
584,u875,JULIAN,m56,even cowgirls get the blues,?,?
585,u876,MAN,m56,even cowgirls get the blues,?,?
586,u880,DJ,m57,event horizon,?,?
587,u881,HOLLIS,m57,event horizon,?,?
589,u883,LYLE,m57,event horizon,?,?
590,u889,ALICIA,m58,fantastic four,?,?
591,u891,DEBBIE,m58,fantastic four,?,?
592,u892,DOCTOR,m58,fantastic four,?,?
593,u894,LEONARD,m58,fantastic four,?,?
594,u896,SEXY NURSE,m58,fantastic four,?,?
595,u898,THE THING,m58,fantastic four,?,?
598,u903,CURTIS,m59,fast times at ridgemont high,?,?
599,u905,DENNIS,m59,fast times at ridgemont high,?,?
600,u906,GIRL,m59,fast times at ridgemont high,?,?
601,u907,GRIFFIN,m59,fast times at ridgemont high,?,?
602,u908,HAROLD,m59,fast times at ridgemont high,?,?
603,u909,L.C.,m59,fast times at ridgemont high,?,?
605,u913,RON,m59,fast times at ridgemont high,?,?
606,u916,THE RAT,m59,fast times at ridgemont high,?,?
607,u917,WAITRESS,m59,fast times at ridgemont high,?,?
608,u919,DA,m60,fear and loathing in las vegas,?,?
611,u924,MAID,m60,fear and loathing in las vegas,?,?
612,u925,PROPRIETOR,m60,fear and loathing in las vegas,?,?
613,u926,ADULTERER,m61,feast,?,?
617,u932,GOLDIE,m61,feast,?,?
618,u933,GOOD GUY,m61,feast,?,?
619,u934,GRANDPA,m61,feast,?,?
620,u936,PARA,m61,feast,?,?
621,u937,ROADIE,m61,feast,?,?
622,u938,SICKLY BROWNIE,m61,feast,?,?
623,u939,TRAMPY,m61,feast,?,?
624,u940,TROOP LEADER,m61,feast,?,?
